transaction_id,datetime,transaction_type,transaction_type_action,transaction_quantity,quantity_on_hand,medication_id,medication,hospital_id,hospital_name,hospital_ward_id,hospital_ward_name
600,2022-10-18 08:38:05,I,Issue,2.0,17,992069,senna-dss (PERI-COLAC 1ea tablet,2,St Joseph's,644795,4W SPINE
601,2022-10-18 08:38:15,V,Event,2.0,132,1030702,LORazepam (ATIV 2mg/1ml 1ml vial,2,St Joseph's,43,RX
602,2022-10-18 08:38:15,G,Pick,2.0,132,1030701,LORazepam (ATIV 2mg/1ml 1ml vial,2,St Joseph's,43,RX
603,2022-10-18 08:38:11,I,Issue,1.0,13,996677,metoprolol tartrate 25mg tablet,2,St Joseph's,82,7TN
604,2022-10-18 08:38:14,I,Issue,1.0,109690,984356,.patient's other medications,2,St Joseph's,644795,4W SPINE
605,2022-10-18 08:38:15,I,Issue,1.0,18,1002220,LORazepam (ATIVAN) 1mg tablet,2,St Joseph's,81,6TN
606,2022-10-18 08:38:28,I,Issue,1.0,13,1038138,albuterol-ipratropium 3ml nebule,2,St Joseph's,58,2NE
607,2022-10-18 08:38:27,V,Event,15.0,0,1030977,HYDROcodone/acetamino 1ea tablet,2,St Joseph's,43,RX
608,2022-10-18 08:38:38,I,Issue,1.0,57653,984135,.patient's other medications,2,St Joseph's,64,4P1
609,2022-10-18 08:38:39,I,Issue,1.0,17,1020417,aspirin enteric coat 81mg tablet,2,St Joseph's,80,5TN
610,2022-10-18 08:38:48,I,Issue,1.0,7,1041584,hydrALAZINE 25mg tablet,2,St Joseph's,81,6TN
611,2022-10-18 08:38:50,I,Issue,1.0,13,1039634,doxycycline 100mg tablet,2,St Joseph's,64,4P1
612,2022-10-18 08:39:12,I,Issue,1.0,14,1022200,enoxapa 80mg/0.8ml 0.8ml syringe,2,St Joseph's,62,3P1
613,2022-10-18 08:40:14,I,Issue,1.0,7,992043,pregabalin (LYRICA) 50mg capsule,2,St Joseph's,84,7S
614,2022-10-18 08:40:18,I,Issue,1.0,50,990272,ipratro 0.5mg/2.5ml 2.5ml nebule,2,St Joseph's,64,4P1
615,2022-10-18 08:40:23,N,Null,0.0,0,1009444,"Aux 1, Zone 5",2,St Joseph's,82,7TN
616,2022-10-18 08:40:30,N,Null,0.0,5948,1012284,0.9% sodium chloride 100ml bag,2,St Joseph's,43,RX
617,2022-10-18 08:40:27,I,Issue,1.0,19,991516,metoprolol succinate 50mg tablet,2,St Joseph's,80,5TN
618,2022-10-18 08:40:30,I,Issue,1.0,11,1042731,memantine 10mg tablet,2,St Joseph's,62,3P1
619,2022-10-18 08:40:33,I,Issue,1.0,8,986694,prenatal multivit-min 1ea tablet,2,St Joseph's,25,BP
620,2022-10-18 08:40:36,V,Event,10.0,0,1039297,morphine PF 1mg/1ml 10ml ampule,2,St Joseph's,43,RX
621,2022-10-18 08:40:37,I,Issue,1.0,132,1003325,ibuprofen (ADVIL) 400mg tablet,2,St Joseph's,25,BP
622,2022-10-18 08:40:36,I,Issue,1.0,7,1038521,pantoprazole 40mg tablet,2,St Joseph's,80,5TN
623,2022-10-18 08:40:35,I,Issue,1.0,3,1036079,losartan potassium 50mg tablet,2,St Joseph's,84,7S
624,2022-10-18 08:40:44,I,Issue,1.0,90,1028757,docusate sodium 100mg capsule,2,St Joseph's,25,BP
625,2022-10-18 08:41:11,I,Issue,1.0,3,1040562,cetirizine 10mg tab,2,St Joseph's,81,6TN
626,2022-10-18 08:41:31,I,Issue,1.0,5,1035573,calcium w/ vitamin d 1tab tablet,2,St Joseph's,644795,4W SPINE
627,2022-10-18 08:41:34,I,Issue,1.0,6,1015274,famotidine in 20mg/50ml 50ml bag,2,St Joseph's,644795,4W SPINE
628,2022-10-18 08:41:33,I,Issue,1.0,990503,1010140,.patient's other medications,2,St Joseph's,62,3P1
629,2022-10-18 08:41:38,I,Issue,1.0,6,1014503,enoxapa 30mg/0.3ml 0.3ml syringe,2,St Joseph's,644795,4W SPINE
630,2022-10-18 08:41:48,I,Issue,1.0,7,1026288,escitalopram 10mg tablet,2,St Joseph's,644795,4W SPINE
631,2022-10-18 08:41:55,G,Pick,24.0,96,1041123,HYDROmorphone 8mg tablet,2,St Joseph's,43,RX
632,2022-10-18 08:41:57,K,Destock,1.0,1,1040200,enoxaparin 100mg/1ml 3ml VIAL,2,St Joseph's,15,ONCOLOGY
633,2022-10-18 08:42:07,I,Issue,1.0,13,1038729,pantoprazole 20mg tablet,2,St Joseph's,80,5TN
634,2022-10-18 08:42:03,I,Issue,1.0,983162,984512,.patient's other medications,2,St Joseph's,644795,4W SPINE
635,2022-10-18 08:42:12,V,Event,18.0,64,1038123,acetaminophe 10mg/1mL 100mL vial,2,St Joseph's,43,RX
636,2022-10-18 08:42:19,I,Issue,1.0,4,1006086,multi vit.w/min (Ocuv 1ea tablet,2,St Joseph's,644795,4W SPINE
637,2022-10-18 08:42:19,K,Destock,1.0,8,1043391,levoFLOXac 750mg/150ml 150ml bag,2,St Joseph's,43,RX
638,2022-10-18 08:42:28,I,Issue,1.0,7,1028746,docusate sodium 100mg capsule,2,St Joseph's,644795,4W SPINE
639,2022-10-18 08:42:33,I,Issue,1.0,52913,984166,.patient's other medications,2,St Joseph's,81,6TN
640,2022-10-18 08:42:33,N,Null,0.0,3,1036079,losartan potassium 50mg tablet,2,St Joseph's,84,7S
641,2022-10-18 08:42:35,I,Issue,1.0,72907,984145,.patient's other medications,2,St Joseph's,80,5TN
642,2022-10-18 08:42:47,I,Issue,1.0,997890,1035135,.patient's other medications,2,St Joseph's,644795,4W SPINE
643,2022-10-18 08:42:47,I,Issue,1.0,9,1031245,lactulose (CEPHULAC) 20gm packet,2,St Joseph's,80,5TN
644,2022-10-18 08:43:00,I,Issue,1.0,12,1037947,metFORMIN 500mg tablet,2,St Joseph's,644795,4W SPINE
645,2022-10-18 08:43:08,V,Event,8.0,114,1035351,polyethylene glycol 3 17g packet,2,St Joseph's,43,RX
646,2022-10-18 08:43:08,G,Pick,8.0,114,1035352,polyethylene glycol 3 17g packet,2,St Joseph's,43,RX
647,2022-10-18 08:43:02,I,Issue,1.0,12,1012254,0.9% sodium chloride 1000ml bag,2,St Joseph's,36,EMD
648,2022-10-18 08:43:06,I,Issue,1.0,7,993636,LORazepam (ATIVAN) 1mg tablet,2,St Joseph's,644795,4W SPINE
649,2022-10-18 08:44:24,I,Issue,1.0,7,1035386,multi vit.therapeutic 1ea tablet,2,St Joseph's,62,3P1
650,2022-10-18 08:44:33,I,Issue,1.0,2,1028194,buPROPion XL 300mg tablet,2,St Joseph's,81,6TN
651,2022-10-18 08:44:34,I,Issue,1.0,2,1019086,lidocaine 100mg/5ml 5ml syringe,2,St Joseph's,89,STOP
652,2022-10-18 08:44:35,I,Issue,1.0,9,1035936,lisinopril 10mg tablet,2,St Joseph's,80,5TN
653,2022-10-18 08:44:47,I,Issue,2.0,15,1039066,oxyCODONE IR 5mg tablet,2,St Joseph's,25,BP
654,2022-10-18 08:45:04,K,Destock,1.0,16,1026635,lidocaine 1% w/ Epi 30ml vial,2,St Joseph's,644794,ENT
655,2022-10-18 09:00:26,R,Return,-1.0,82819,1000640,.patient's other medications,2,St Joseph's,82,7TN
656,2022-10-18 09:00:32,N,Null,0.0,0,1008643,"Aux 1, Zone 3",2,St Joseph's,64,4P1
657,2022-10-18 09:00:32,I,Issue,2.0,15,992290,metoprolol succinate 50mg tablet,2,St Joseph's,82,7TN
658,2022-10-18 09:00:35,I,Issue,1.0,6,1031764,ropivacaine (N 5mg/1ml 30ml vial,2,St Joseph's,44,SDS
659,2022-10-18 09:00:34,I,Issue,2.0,4,1037757,DULoxetine 30mg capsule,2,St Joseph's,62,3P1
660,2022-10-18 09:00:56,N,Null,0.0,57652,984135,.patient's other medications,2,St Joseph's,64,4P1
661,2022-10-18 09:01:28,I,Issue,1.0,7,1042270,neostigmine 1mg/1mL 5mL syringe,2,St Joseph's,12,OR
662,2022-10-18 09:01:31,I,Issue,2.0,3,1026593,midazolam (VERS 2mg/2ml 2ml vial,2,St Joseph's,44,SDS
663,2022-10-18 09:01:32,I,Issue,1.0,12,1027811,amLODIPine 5mg tablet,2,St Joseph's,82,7TN
664,2022-10-18 09:01:36,I,Issue,3.0,7,1035028,propofol (D 10mg/1ml 20ml ampule,2,St Joseph's,44,SDS
665,2022-10-18 09:01:35,I,Issue,1.0,97350,1039590,.patient's other medications,2,St Joseph's,62,3P1
666,2022-10-18 09:01:46,O,Supplemental Restock,-5.0,5,1003843,midazolam (VERS 2mg/2ml 2ml vial,2,St Joseph's,29,CATHLAB 
667,2022-10-18 09:01:48,N,Null,0.0,57652,984135,.patient's other medications,2,St Joseph's,64,4P1
668,2022-10-18 09:02:01,O,Supplemental Restock,-1.0,1,1003970,midazolam (VERS 2mg/2ml 2ml vial,2,St Joseph's,29,CATHLAB 
669,2022-10-18 09:02:10,I,Issue,1.0,6,1041502,traMADol 50mg tablet,2,St Joseph's,32,VN 
670,2022-10-18 09:02:16,V,Event,2.0,8,995640,labetalol ( 20mg/4ml 4ml syringe,2,St Joseph's,43,RX
671,2022-10-18 09:02:16,G,Pick,2.0,8,1010578,labetalol ( 20mg/4ml 4ml syringe,2,St Joseph's,43,RX
672,2022-10-18 09:02:34,O,Supplemental Restock,-10.0,10,1037031,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,29,CATHLAB 
673,2022-10-18 09:02:42,V,Event,4.0,6,990932,sod phosphate / bip 135ml bottle,2,St Joseph's,43,RX
674,2022-10-18 09:02:38,I,Issue,1.0,10,1045118,aspirin 325mg tablet,2,St Joseph's,84,7S
675,2022-10-18 09:02:41,I,Issue,1.0,21,1035332,potassium chloride 20MEQ tablet,2,St Joseph's,82,7TN
676,2022-10-18 09:02:50,R,Return,-1.0,998420,984586,.patient's other medications,2,St Joseph's,45,VS
677,2022-10-18 09:02:48,O,Supplemental Restock,-3.0,3,1037034,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,29,CATHLAB 
678,2022-10-18 09:03:15,I,Issue,1.0,11,991983,ferrous sulfate 325mg tablet,2,St Joseph's,25,BP
679,2022-10-18 09:03:19,K,Destock,1.0,7,1014307,leucovorin (WELLCOVOR 100mg vial,2,St Joseph's,15,ONCOLOGY
680,2022-10-18 09:03:21,I,Issue,2.0,4,992740,senna-dss (PERI-COLAC 1ea tablet,2,St Joseph's,84,7S
681,2022-10-18 09:03:27,I,Issue,1.0,88,1028757,docusate sodium 100mg capsule,2,St Joseph's,25,BP
682,2022-10-18 09:03:24,I,Issue,1.0,15,1033917,apixaban 5mg TABLET,2,St Joseph's,82,7TN
683,2022-10-18 09:03:26,N,Null,0.0,0,1008644,"Aux 1, Zone 0",2,St Joseph's,62,3P1
684,2022-10-18 09:03:49,V,Event,10.0,48,1038330,predniSONE 10mg tablet,2,St Joseph's,43,RX
685,2022-10-18 09:05:15,V,Event,0.0,0,1037543,cefepime 2gm duplex,2,St Joseph's,43,RX
686,2022-10-18 09:05:17,I,Issue,1.0,7,1030235,escitalopram 10mg tablet,2,St Joseph's,64,4P1
687,2022-10-18 09:05:14,I,Issue,1.0,7,1007803,thiamine (B-1) 100mg tablet,2,St Joseph's,644795,4W SPINE
688,2022-10-18 09:05:19,I,Issue,1.0,4,1037372,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,44,SDS
689,2022-10-18 09:05:27,V,Event,1.0,29,984645,sodium pol 15gm/60ml 60ml bottle,2,St Joseph's,43,RX
690,2022-10-18 09:05:26,I,Issue,1.0,12,1029565,famotidine (PEPCID) 20mg tablet,2,St Joseph's,64,4P1
691,2022-10-18 13:20:22,I,Issue,4.0,2,1041308,rOPINIRole 0.25mg tablet,2,St Joseph's,84,7S
692,2022-10-18 13:20:48,V,Event,1.0,24,1045198,amitriptyline 5mg SPLITab,2,St Joseph's,43,RX
693,2022-10-18 13:20:48,G,Pick,1.0,24,1045199,amitriptyline 5mg SPLITab,2,St Joseph's,43,RX
694,2022-10-18 13:20:42,W,Waste,1.0,0,970839,midazolam (VERS 2mg/2ml 2ml vial,2,St Joseph's,89,STOP
695,2022-10-18 13:20:57,V,Event,2.0,101,1037096,ticagrelor 90MG tab,2,St Joseph's,43,RX
696,2022-10-18 13:21:23,V,Event,2.0,332,1045310,budesonide 0.5mg/2ml 2ml nebule,2,St Joseph's,43,RX
697,2022-10-18 13:22:02,K,Destock,1.0,11,1036539,fluorour 5000mg/100ml 100ml vial,2,St Joseph's,15,ONCOLOGY
698,2022-10-18 13:22:13,V,Event,1.0,60,997535,buPROPion XL (WELLB 150mg tablet,2,St Joseph's,43,RX
699,2022-10-18 13:22:13,G,Pick,2.0,60,1008908,buPROPion XL (WELLB 150mg tablet,2,St Joseph's,43,RX
700,2022-10-18 13:22:31,V,Event,2.0,30,984255,dornase alpha (PUL 1MG/1ML 2.5ML,2,St Joseph's,43,RX
701,2022-10-18 13:22:31,G,Pick,2.0,30,1012781,dornase alpha (PUL 1MG/1ML 2.5ML,2,St Joseph's,43,RX
702,2022-10-18 13:22:56,V,Event,1.0,59,1038436,hydroxychloroquine 200mg tablet,2,St Joseph's,43,RX
703,2022-10-18 13:22:56,G,Pick,1.0,59,1038437,hydroxychloroquine 200mg tablet,2,St Joseph's,43,RX
704,2022-10-18 13:23:05,G,Pick,1.0,311,1014468,enoxapa 40mg/0.4ml 0.4ml syringe,2,St Joseph's,43,RX
705,2022-10-18 13:23:04,I,Issue,1.0,61110,984353,.patient's other medications,2,St Joseph's,84,7S
706,2022-10-18 13:23:07,I,Issue,1.0,15,1041433,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,81,6TN
707,2022-10-18 13:23:23,K,Destock,2.0,124,1021296,finasteride (PROSCAR) 5mg tablet,2,St Joseph's,43,RX
708,2022-10-18 13:23:30,G,Pick,2.0,116,1038914,NIFEdipine 30mg tablet,2,St Joseph's,43,RX
709,2022-10-18 13:23:31,V,Event,1.0,209,988827,finasteride (PROSCAR) 5mg tablet,2,St Joseph's,43,RX
710,2022-10-18 13:23:31,G,Pick,2.0,209,1012352,finasteride (PROSCAR) 5mg tablet,2,St Joseph's,43,RX
711,2022-10-18 13:23:45,W,Waste,0.5,0,1036818,fentaNYL 100mCg/2ml 2ml vial,2,St Joseph's,36,EMD
712,2022-10-18 13:23:50,I,Issue,1.0,7,1023626,nicotine 14mg patch,2,St Joseph's,84,7S
713,2022-10-18 13:24:05,V,Event,2.0,3,1041895,Carvedilol 1.56mg SPLITab,2,St Joseph's,43,RX
714,2022-10-18 13:24:12,G,Pick,1.0,39,1023267,buPROPion XL 300mg tablet,2,St Joseph's,43,RX
715,2022-10-18 13:24:06,I,Issue,1.0,176449,984295,.patient's other medications,2,St Joseph's,644795,4W SPINE
716,2022-10-18 13:24:23,I,Issue,1.0,13,1042287,succinylcholi 20mg/1ml 10ml vial,2,St Joseph's,12,OR
717,2022-10-18 13:24:26,I,Issue,1.0,24,1041678,lidocaine  1% 10mg/1ml 5ml vial,2,St Joseph's,12,OR
718,2022-10-18 13:24:27,I,Issue,1.0,14,1045110,aspirin 325mg tablet,2,St Joseph's,30,CVOPC
719,2022-10-18 13:24:36,V,Event,1.0,45,1044970,pantoprazole 40mg packet,2,St Joseph's,43,RX
720,2022-10-18 13:24:49,V,Event,2.0,22,997897,arformotero 15mcg/2ml 2ml nebule,2,St Joseph's,43,RX
721,2022-10-18 13:27:07,G,Pick,2.0,239,1042463,budesonide 0.25mg/2ml 2ml nebule,2,St Joseph's,43,RX
722,2022-10-18 13:27:17,I,Issue,1.0,19,1014619,famotidine (PEPCID) 20mg tablet,2,St Joseph's,81,6TN
723,2022-10-18 13:27:23,V,Event,1.0,149,1000015,nortriptyline (PAME 10mg capsule,2,St Joseph's,43,RX
724,2022-10-18 13:27:23,G,Pick,1.0,149,1009569,nortriptyline (PAME 10mg capsule,2,St Joseph's,43,RX
725,2022-10-18 13:27:25,V,Event,3.0,110,1038389,QUEtiapine XR 50mg tablet,2,St Joseph's,43,RX
726,2022-10-18 13:27:43,G,Pick,1.0,62,1009951,cyanocobalamin (VI 500mcg tablet,2,St Joseph's,43,RX
727,2022-10-18 13:36:31,G,Pick,1.0,6,1044371,carBAMazepine 100mg SPLITab,2,St Joseph's,43,RX
728,2022-10-18 13:36:48,V,Event,1.0,36,1037587,vitamin B-12 250mCg SPLITab,2,St Joseph's,43,RX
729,2022-10-18 13:36:48,G,Pick,1.0,36,1037586,vitamin B-12 250mCg SPLITab,2,St Joseph's,43,RX
730,2022-10-18 13:36:44,I,Issue,1.0,0,1027188,ondansetron 4mg/2ml 2ml vial,2,St Joseph's,644797,OPO
731,2022-10-18 13:36:51,V,Event,0.0,5942,985530,0.9% sodium chloride 100ml bag,2,St Joseph's,43,RX
732,2022-10-18 13:37:01,I,Issue,4.0,31,1034434,albuter 2.5mg/0.5ml 0.5ml nebule,2,St Joseph's,36,EMD
733,2022-10-18 13:37:18,V,Event,2.0,18,997897,arformotero 15mcg/2ml 2ml nebule,2,St Joseph's,43,RX
734,2022-10-18 13:37:18,G,Pick,4.0,18,1012299,arformotero 15mcg/2ml 2ml nebule,2,St Joseph's,43,RX
735,2022-10-18 13:37:19,R,Return,-2.0,35,985285,lidocaine 1% sod bic 5ml syringe,2,St Joseph's,29,CATHLAB 
736,2022-10-18 13:37:13,N,Null,0.0,0,1008638,"Aux 1, Zone 3",2,St Joseph's,80,5TN
738,2022-10-18 13:37:49,K,Destock,1.0,4,1019336,darbepoet 500mCg/1ml 1ml syringe,2,St Joseph's,15,ONCOLOGY
739,2022-10-18 13:37:59,I,Issue,1.0,2,1004380,morphine or 0.4mg/1mL 0.5mL each,2,St Joseph's,24,NICU
740,2022-10-18 13:38:04,R,Return,-1.0,3,1013579,famotidine (PE 20mg/2ml 2ml vial,2,St Joseph's,25,BP
741,2022-10-18 13:38:16,K,Destock,10.0,13,1033681,sodium bica 50meq/50ml 50ml vial,2,St Joseph's,44,SDS
742,2022-10-18 13:38:26,V,Event,2.0,38,1041555,formoterol fumarat 20mCg/2mL neb,2,St Joseph's,43,RX
743,2022-10-18 13:38:26,G,Pick,2.0,38,1041544,formoterol fumarat 20mCg/2mL neb,2,St Joseph's,43,RX
744,2022-10-18 13:38:42,I,Issue,1.0,8,1032383,cyclobenzaprine (FLEX 5mg tablet,2,St Joseph's,644795,4W SPINE
745,2022-10-18 13:38:52,G,Pick,8.0,62,1037574,chlorproMAZINE 100mg tablet,2,St Joseph's,43,RX
746,2022-10-18 13:38:49,I,Issue,1.0,0,1021272,phenyleph 0.1mg/1ml 10ml syringe,2,St Joseph's,12,OR
747,2022-10-18 13:39:01,V,Event,2.0,132,1040574,flecainide 50mg tablet,2,St Joseph's,43,RX
748,2022-10-18 13:39:01,G,Pick,2.0,132,1039307,flecainide 50mg tablet,2,St Joseph's,43,RX
749,2022-10-18 13:39:03,R,Return,-1.0,13,1018404,heparin 1unit/1mL 5mL syringe,2,St Joseph's,24,NICU
750,2022-10-18 13:39:46,V,Event,2.0,82,1043380,oxazepam 15mg CAPSULE,2,St Joseph's,43,RX
751,2022-10-18 13:39:38,W,Waste,0.82,0,1004391,morphine or 0.4mg/1mL 0.5mL each,2,St Joseph's,24,NICU
752,2022-10-18 13:39:50,I,Issue,1.0,6,1025569,clonazePAM 0.5mg tablet,2,St Joseph's,32,VN 
753,2022-10-18 13:39:53,R,Return,-1.0,61110,984353,.patient's other medications,2,St Joseph's,84,7S
754,2022-10-18 13:39:56,W,Waste,0.2,0,1045364,rocuronium 10mg/1ml 5ml vial,2,St Joseph's,12,OR
755,2022-10-18 13:40:01,K,Destock,12.0,13,1041492,bupivacaine w/ epi 0.2 50ml vial,2,St Joseph's,44,SDS
756,2022-10-18 13:40:19,G,Pick,1.0,24,1009098,predniSONE (DELTASON 50mg tablet,2,St Joseph's,43,RX
757,2022-10-18 13:41:43,V,Event,2.0,45,1020132,dabigatran 150mg CAPSULE,2,St Joseph's,43,RX
758,2022-10-18 13:41:34,I,Issue,1.0,2,1020773,LORazepam (ATIV 2mg/1ml 1ml vial,2,St Joseph's,36,EMD
759,2022-10-18 13:41:47,D,Discrepancy,1.0,137,1037517,ceFAZolin 2 gm/50 m 1each duplex,2,St Joseph's,43,RX
760,2022-10-18 13:41:40,S,Restock,-1.0,1,1018525,open heart 1ea box,2,St Joseph's,33,ANES
761,2022-10-18 13:41:48,C,Cycle Count,137.0,137,1037517,ceFAZolin 2 gm/50 m 1each duplex,2,St Joseph's,43,RX
762,2022-10-18 13:41:58,I,Issue,4.0,27,1034434,albuter 2.5mg/0.5ml 0.5ml nebule,2,St Joseph's,36,EMD
763,2022-10-18 13:42:04,N,Null,0.0,0,1010350,"Aux 1, Zone 2",2,St Joseph's,25,BP
764,2022-10-18 13:42:15,K,Destock,3.0,13,1044810,mastisol adhesive ex liqd 1each,2,St Joseph's,44,SDS
765,2022-10-18 13:42:23,V,Event,2.0,167,1039937,pantoprazole 40mg tablet,2,St Joseph's,43,RX
766,2022-10-18 13:42:23,G,Pick,2.0,167,1039647,pantoprazole 40mg tablet,2,St Joseph's,43,RX
767,2022-10-18 13:42:32,I,Issue,1.0,12,1036816,hepatitis 5mcg/0.5ml 0.5ml vial,2,St Joseph's,25,BP
768,2022-10-18 13:42:57,G,Pick,2.0,93,1041334,carBAMazepine 200mg tablet,2,St Joseph's,43,RX
769,2022-10-18 13:43:46,I,Issue,3.0,2,1038829,oxyCODONE IR 5mg tablet,2,St Joseph's,44,SDS
770,2022-10-18 13:43:54,G,Pick,6.0,42,1033160,Lanthanum 500mg TABLET,2,St Joseph's,43,RX
771,2022-10-18 13:44:15,V,Event,1.0,49,988091,melatonin 5mg tablet,2,St Joseph's,43,RX
772,2022-10-18 13:44:15,G,Pick,1.0,49,1008992,melatonin 5mg tablet,2,St Joseph's,43,RX
773,2022-10-18 13:44:07,I,Issue,1.0,1,1015118,morphine 2mg/1ml 1ml syringe,2,St Joseph's,84,7S
774,2022-10-18 13:44:30,I,Issue,2.0,8,1038633,morphine CR 30mg tablet,2,St Joseph's,82,7TN
775,2022-10-18 13:44:38,V,Event,1.0,363,1004149,levothyroxine (LEVO 25mcg tablet,2,St Joseph's,43,RX
776,2022-10-18 13:44:49,V,Event,1.0,47,1038330,predniSONE 10mg tablet,2,St Joseph's,43,RX
777,2022-10-18 13:44:49,G,Pick,1.0,47,1038308,predniSONE 10mg tablet,2,St Joseph's,43,RX
778,2022-10-18 13:45:01,V,Event,2.0,107,1002269,carbidopa-levodopa ER 1ea tablet,2,St Joseph's,43,RX
779,2022-10-18 13:45:01,G,Pick,2.0,107,1009348,carbidopa-levodopa ER 1ea tablet,2,St Joseph's,43,RX
780,2022-10-18 13:45:19,I,Issue,2.0,1,1038449,oxyCODONE IR 5mg tablet,2,St Joseph's,82,7TN
781,2022-10-18 13:45:37,V,Event,1.0,124,1014509,predniSONE (DELTASON 20mg tablet,2,St Joseph's,43,RX
782,2022-10-18 13:45:55,V,Event,1.0,20,1039369,SITagliptin Phospha 25mg SPLITab,2,St Joseph's,43,RX
783,2022-10-18 13:45:55,G,Pick,1.0,20,1039374,SITagliptin Phospha 25mg SPLITab,2,St Joseph's,43,RX
784,2022-10-18 13:46:16,V,Event,1.0,12,1044470,mirtazapine 7.5mg SPLITab,2,St Joseph's,43,RX
785,2022-10-18 13:46:16,V,Event,1.0,12,1044470,mirtazapine 7.5mg SPLITab,2,St Joseph's,43,RX
786,2022-10-18 13:46:55,G,Pick,1.0,6,1036199,bisoprolol fumarat 2.5mg SPLITab,2,St Joseph's,43,RX
787,2022-10-18 13:47:04,V,Event,1.0,100,1037096,ticagrelor 90MG tab,2,St Joseph's,43,RX
788,2022-10-18 13:47:40,I,Issue,1.0,953441,984256,.patient's other medications,2,St Joseph's,84,7S
789,2022-10-18 13:47:54,N,Null,0.0,18,1031279,Atazanavir Sulfate 300mg CAPSULE,2,St Joseph's,43,RX
790,2022-10-18 13:47:56,N,Null,0.0,18,1031279,Atazanavir Sulfate 300mg CAPSULE,2,St Joseph's,43,RX
791,2022-10-18 13:47:56,R,Return,-1.0,79648,985282,.patient's other medications,2,St Joseph's,64,4P1
792,2022-10-18 13:48:55,V,Event,1.0,17,1002158,Atazanavir Sulfate 300mg CAPSULE,2,St Joseph's,43,RX
793,2022-10-18 13:52:06,G,Pick,0.0,31,1033428,immune glo 10gm/100mL 100mL vial,2,St Joseph's,43,RX
794,2022-10-18 13:52:13,G,Pick,0.0,70,1008750,heparin ( 1000units/1ml 2ml vial,2,St Joseph's,43,RX
795,2022-10-18 13:52:07,I,Issue,1.0,4,1045128,scopolamine 1.5mg patch,2,St Joseph's,76,PREPOST
796,2022-10-18 13:52:20,D,Discrepancy,1.0,74,1038471,insulin det 100units/1ml 3ml pen,2,St Joseph's,43,RX
797,2022-10-18 13:52:20,C,Cycle Count,74.0,74,1038471,insulin det 100units/1ml 3ml pen,2,St Joseph's,43,RX
798,2022-10-18 13:52:24,G,Pick,1.0,790,1012385,divalproex (DEPAKOT 500mg tablet,2,St Joseph's,43,RX
799,2022-10-18 13:52:23,I,Issue,1.0,2,1015590,metoclopramide 10mg/2ml 2ml vial,2,St Joseph's,76,PREPOST
800,2022-10-18 13:52:45,V,Event,1.0,28,1014829,bacitracin oint tube,2,St Joseph's,43,RX
